source,target,interaction,scaffold,species,HH_type,genus,distance
EST1212206101S1K,EST1350511101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,24082.1370727688
EST1212206101S1K,EST1356611101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,26988.1035157076
EST1212206101S1K,EST1356618101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,28142.9461078979
EST1212206101S1K,EST1358302101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,24847.6886721979
EST1212206101S1K,EST1358304101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,25333.0762282679
EST1212206201S1K,EST1232702101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,11356.9331296236
EST1212206201S1K,EST1237103201S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,17285.6901329728
EST1212206201S1K,EST1238004201S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,21260.2012387835
EST1212206201S1K,EST1242101101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,9961.14138062164
EST1212206201S1K,EST1356611101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,26925.2124507843
EST1212206201S1K,EST1356618101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,28080.4563015514
EST1212206201S1K,EST1358302101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,24784.3194131333
EST1212206201S1K,EST1358304101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,25270.0050541443
EST1212703101S1K,stools_12095102,strain_sharing,NZ_CP055231.1,Entc_hirae,Between,Entc,304735.525561273
EST1212705101S1K,EST1234709101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,14795.7997699291
EST1212705101S1K,EST1241108101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,10052.7102193973
EST1212705101S1K,EST1242209101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,9184.98096040347
EST1212705101S1K,EST1350511101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,25159.8306466391
EST1212705101S1K,EST1356601101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,28505.6321727892
EST1212705101S1K,EST1358301101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,26121.9967612796
EST1212705101S1K,EST1358301201S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,26122.055375272
EST1212705101S1K,stools_11021150,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,309340.854042487
EST1212705101S1K,stools_11024150,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,309325.235926466
EST1213404101S1K,EST1242805101S1K,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,8941.3565996275
EST1213404101S1K,stools_11110101,strain_sharing,NZ_CP055230.1,Entc_hirae,Between,Entc,311222.002924689
EST1232702101S1K,EST1237103201S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,8132.14801893293
EST1232702101S1K,EST1238004201S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,10670.917588053
EST1232702101S1K,EST1242101101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,21249.0743816088
EST1232702101S1K,EST1356611101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,17164.1793784572
EST1232702101S1K,EST1356618101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,18168.7326203926
EST1232702101S1K,EST1358302101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,15265.1454969406
EST1234709101S1K,EST1241108101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,24177.9661855242
EST1234709101S1K,EST1242209101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,23980.7370456687
EST1234709101S1K,EST1350511101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,10405.0714683755
EST1234709101S1K,EST1356601101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,14022.0581374046
EST1234709101S1K,EST1358301101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,11811.8962361567
EST1234709101S1K,EST1358301201S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,11811.6744096618
EST1234709101S1K,EST1358302101S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,11543.6796465995
EST1234709101S1K,stools_11021150,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,303800.71786496
EST1234709101S1K,stools_11024150,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,303786.134001725
EST1237103201S1K,EST1238004201S1K,strain_sharing,NZ_CP055229.1,Entc_hirae,Between,Entc,4831.92349139994
