within_hh_id,within_sample1,within_sample2,scaffold,species,bridge_sample,outside_sample,outside_hh_id,within_study,outside_study
2411041,ESO1241104120S1K,EST1241104101S1K,NZ_CP055230.1,Entc_hirae,ESO1241104120S1K,EST1356602101S1K,3566021,WASHB,WASHB
2411041,ESO1241104120S1K,EST1241104101S1K,NZ_CP055230.1,Entc_hirae,ESO1241104120S1K,stools_11055101,11055,WASHB,Nairobi
2411041,ESO1241104120S1K,EST1241104101S1K,NZ_CP055230.1,Entc_hirae,ESO1241104120S1K,stools_12098150,12098,WASHB,Nairobi
2411041,ESO1241104120S1K,EST1241104101S1K,NZ_CP055230.1,Entc_hirae,EST1241104101S1K,EST1247211101S1K,2472111,WASHB,WASHB
2411041,ESO1241104120S1K,EST1241104101S1K,NZ_CP055230.1,Entc_hirae,EST1241104101S1K,EST1356602101S1K,3566021,WASHB,WASHB
2411041,ESO1241104120S1K,EST1241104101S1K,NZ_CP055230.1,Entc_hirae,EST1241104101S1K,stools_11055101,11055,WASHB,Nairobi
2411041,ESO1241104120S1K,EST1241104101S1K,NZ_CP055230.1,Entc_hirae,EST1241104101S1K,stools_12098150,12098,WASHB,Nairobi
3590051,EST1359005101S1K,EST2359005102S1K,NZ_AP027299.1,Entc_hirae,EST2359005102S1K,ESO1242101120S1K,2421011,WASHB,WASHB
3590051,EST1359005101S1K,EST2359005102S1K,NZ_CP040878.1,Entc_faecium,EST2359005102S1K,ESO1238105120S1K,2381051,WASHB,WASHB
3590051,EST1359005101S1K,EST2359005102S1K,NZ_CP040878.1,Entc_faecium,EST2359005102S1K,stools_12086501,12086,WASHB,Nairobi
11009,stools_11009101,stools_11009150,NZ_AP027299.1,Entc_hirae,stools_11009150,ESO1350507120S1K,3505071,Nairobi,WASHB
11009,stools_11009101,stools_11009150,NZ_AP027299.1,Entc_hirae,stools_11009150,ESO1350511120S1K,3505111,Nairobi,WASHB
11009,stools_11009101,stools_11009150,NZ_AP027299.1,Entc_hirae,stools_11009101,EST1247109101S1K,2471091,Nairobi,WASHB
11009,stools_11009101,stools_11009150,NZ_AP027299.1,Entc_hirae,stools_11009150,EST1247109101S1K,2471091,Nairobi,WASHB
11009,stools_11009101,stools_11009150,NZ_AP027299.1,Entc_hirae,stools_11009101,stools_11015101,11015,Nairobi,Nairobi
11009,stools_11009101,stools_11009150,NZ_AP027299.1,Entc_hirae,stools_11009101,stools_11015501,11015,Nairobi,Nairobi
11009,stools_11009101,stools_11009150,NZ_AP027299.1,Entc_hirae,stools_11009101,stools_11016150,11016,Nairobi,Nairobi
11009,stools_11009101,stools_11009150,NZ_AP027299.1,Entc_hirae,stools_11009150,stools_11015101,11015,Nairobi,Nairobi
11009,stools_11009101,stools_11009150,NZ_AP027299.1,Entc_hirae,stools_11009150,stools_11015501,11015,Nairobi,Nairobi
11009,stools_11009101,stools_11009150,NZ_AP027299.1,Entc_hirae,stools_11009150,stools_11016150,11016,Nairobi,Nairobi
11015,stools_11015101,stools_11015501,NZ_AP027299.1,Entc_hirae,stools_11015101,ESO1350507120S1K,3505071,Nairobi,WASHB
11015,stools_11015101,stools_11015501,NZ_AP027299.1,Entc_hirae,stools_11015501,ESO1350507120S1K,3505071,Nairobi,WASHB
11015,stools_11015101,stools_11015501,NZ_AP027299.1,Entc_hirae,stools_11015101,ESO1350511120S1K,3505111,Nairobi,WASHB
11015,stools_11015101,stools_11015501,NZ_AP027299.1,Entc_hirae,stools_11015501,ESO1350511120S1K,3505111,Nairobi,WASHB
11015,stools_11015101,stools_11015501,NZ_AP027299.1,Entc_hirae,stools_11015101,EST1247109101S1K,2471091,Nairobi,WASHB
11015,stools_11015101,stools_11015501,NZ_AP027299.1,Entc_hirae,stools_11015501,EST1247109101S1K,2471091,Nairobi,WASHB
11015,stools_11015101,stools_11015501,NZ_AP027299.1,Entc_hirae,stools_11015101,stools_11009101,11009,Nairobi,Nairobi
11015,stools_11015101,stools_11015501,NZ_AP027299.1,Entc_hirae,stools_11015501,stools_11009101,11009,Nairobi,Nairobi
11015,stools_11015101,stools_11015501,NZ_AP027299.1,Entc_hirae,stools_11015101,stools_11009150,11009,Nairobi,Nairobi
11015,stools_11015101,stools_11015501,NZ_AP027299.1,Entc_hirae,stools_11015501,stools_11009150,11009,Nairobi,Nairobi
11015,stools_11015101,stools_11015501,NZ_AP027299.1,Entc_hirae,stools_11015101,stools_11016150,11016,Nairobi,Nairobi
11015,stools_11015101,stools_11015501,NZ_AP027299.1,Entc_hirae,stools_11015501,stools_11016150,11016,Nairobi,Nairobi
11029,stools_11029101,stools_11029150,NZ_CP068122.1,Entc_hirae,stools_11029101,ESO1232702120S1K,2327021,Nairobi,WASHB
11029,stools_11029101,stools_11029150,NZ_CP068122.1,Entc_hirae,stools_11029150,ESO1232702120S1K,2327021,Nairobi,WASHB
11029,stools_11029101,stools_11029501,NZ_CP068122.1,Entc_hirae,stools_11029101,ESO1232702120S1K,2327021,Nairobi,WASHB
11029,stools_11029101,stools_11029501,NZ_CP068122.1,Entc_hirae,stools_11029501,ESO1232702120S1K,2327021,Nairobi,WASHB
11029,stools_11029150,stools_11029501,NZ_CP068122.1,Entc_hirae,stools_11029150,ESO1232702120S1K,2327021,Nairobi,WASHB
11029,stools_11029150,stools_11029501,NZ_CP068122.1,Entc_hirae,stools_11029501,ESO1232702120S1K,2327021,Nairobi,WASHB
12069,stools_12069101,stools_12069150,NZ_CP034169.1,Entc_avium,stools_12069150,stools_12065101,12065,Nairobi,Nairobi
12069,stools_12069101,stools_12069150,NZ_CP034169.1,Entc_avium,stools_12069101,stools_12070101,12070,Nairobi,Nairobi
